Start_date,End_date,Difference
2015-01-02,2015-01-09,2.6643
2015-01-05,2015-01-12,2.5286999999999997
2015-01-06,2015-01-13,2.4676
2015-01-07,2015-01-14,2.4384999999999994
2015-01-08,2015-01-15,2.5006999999999993
2015-01-09,2015-01-16,2.5024999999999995
2015-01-12,2015-01-19,2.4398999999999997
2015-01-13,2015-01-20,2.436
2015-01-14,2015-01-21,2.4814999999999996
2015-01-15,2015-01-22,2.5587999999999997
2015-01-16,2015-01-23,2.5795999999999992
2015-01-19,2015-01-26,2.5614999999999997
2015-01-20,2015-01-27,2.5710999999999995
2015-01-21,2015-01-28,2.5599999999999996
2015-01-22,2015-01-29,2.5713
2015-01-23,2015-01-30,2.398199999999999
2015-01-26,2015-02-02,2.4043
2015-01-27,2015-02-03,2.3773999999999997
2015-01-28,2015-02-04,2.4193999999999996
2015-01-29,2015-02-05,2.3747999999999996
2015-01-30,2015-02-06,2.3586
2015-02-02,2015-02-09,2.4601999999999995
2015-02-03,2015-02-10,2.5801
2015-02-04,2015-02-11,2.6322
2015-02-05,2015-02-12,2.6026999999999996
2015-02-06,2015-02-13,2.6843999999999992
2015-02-09,2015-02-16,2.532
2015-02-10,2015-02-17,2.5893999999999995
2015-02-11,2015-02-18,2.5694
2015-02-12,2015-02-19,2.4547999999999996
2015-02-13,2015-02-20,2.5688999999999993
2015-02-16,2015-02-23,2.6308
2015-02-17,2015-02-24,2.6624999999999996
2015-02-18,2015-02-25,2.6556999999999995
2015-02-19,2015-02-26,2.5804
2015-02-20,2015-02-27,2.5665999999999993
2015-02-23,2015-03-02,2.5245999999999995
2015-02-24,2015-03-03,2.5584999999999996
2015-02-25,2015-03-04,2.564
2015-02-26,2015-03-05,2.6049999999999995
2015-02-27,2015-03-06,2.5443
2015-03-02,2015-03-09,2.5046999999999997
2015-03-03,2015-03-10,2.4632999999999994
2015-03-04,2015-03-11,2.4282999999999992
2015-03-05,2015-03-12,2.4516999999999998
2015-03-06,2015-03-13,2.3807
2015-03-09,2015-03-16,2.273199999999999
2015-03-10,2015-03-17,2.1266999999999996
2015-03-11,2015-03-18,1.9884000000000004
2015-03-12,2015-03-19,2.0776000000000003
2015-03-13,2015-03-20,2.0136000000000003
2015-03-16,2015-03-23,1.9446999999999992
2015-03-17,2015-03-24,1.9057999999999993
2015-03-18,2015-03-25,1.7698
2015-03-19,2015-03-26,2.0845000000000002
2015-03-20,2015-03-27,2.087299999999999
2015-03-23,2015-03-30,2.266
2015-03-24,2015-03-31,2.3244999999999996
2015-03-25,2015-04-01,2.3499
2015-03-26,2015-04-07,2.3344999999999994
2015-03-27,2015-04-08,2.2090999999999994
2015-03-30,2015-04-09,2.1921999999999997
2015-03-31,2015-04-10,2.0829000000000004
2015-04-01,2015-04-13,2.0923
2015-04-07,2015-04-14,2.1241000000000003
2015-04-08,2015-04-15,2.1843999999999992
2015-04-09,2015-04-16,2.1327
2015-04-10,2015-04-17,2.0238999999999994
2015-04-13,2015-04-20,2.0716
2015-04-14,2015-04-21,2.1432
2015-04-15,2015-04-22,2.218
2015-04-16,2015-04-23,2.3556999999999997
2015-04-17,2015-04-24,2.4074999999999998
2015-04-20,2015-04-27,2.2996
2015-04-21,2015-04-28,2.2985999999999995
2015-04-22,2015-04-29,2.3133
2015-04-23,2015-04-30,2.2666999999999993
2015-04-24,2015-05-04,2.3426
2015-04-27,2015-05-05,2.3785999999999996
2015-04-28,2015-05-06,2.4922999999999993
2015-04-29,2015-05-07,2.5511
2015-04-30,2015-05-08,2.6963
2015-05-04,2015-05-11,2.5835999999999997
2015-05-05,2015-05-12,2.5736999999999997
2015-05-06,2015-05-13,2.6808999999999994
2015-05-07,2015-05-15,2.8061999999999996
2015-05-08,2015-05-18,2.7028999999999996
2015-05-11,2015-05-19,2.6113999999999997
2015-05-12,2015-05-20,2.7032999999999996
2015-05-13,2015-05-21,2.7247999999999992
2015-05-15,2015-05-22,2.7797
2015-05-18,2015-05-26,2.8130999999999995
2015-05-19,2015-05-27,2.6997
2015-05-20,2015-05-28,2.6193
2015-05-21,2015-05-29,2.5976
2015-05-22,2015-06-01,2.6361
2015-05-26,2015-06-02,2.5130999999999997
2015-05-27,2015-06-03,2.4162999999999997
2015-05-28,2015-06-04,2.3796
2015-05-29,2015-06-05,2.3911999999999995
2015-06-01,2015-06-08,2.2169
2015-06-02,2015-06-09,2.3062999999999994
2015-06-03,2015-06-10,2.3454999999999995
2015-06-04,2015-06-11,2.4521999999999995
2015-06-05,2015-06-12,2.3202999999999996
2015-06-08,2015-06-15,2.2642999999999995
2015-06-09,2015-06-16,2.3689999999999998
2015-06-10,2015-06-17,2.4597999999999995
2015-06-11,2015-06-18,2.3500999999999994
2015-06-12,2015-06-19,2.4227999999999996
2015-06-15,2015-06-22,2.4063
2015-06-16,2015-06-23,2.3944
2015-06-17,2015-06-24,2.4372
2015-06-18,2015-06-25,2.4285999999999994
2015-06-19,2015-06-26,2.3614999999999995
2015-06-22,2015-06-29,2.4668
2015-06-23,2015-06-30,2.3846
2015-06-24,2015-07-01,2.3519999999999994
2015-06-25,2015-07-02,2.3556
2015-06-26,2015-07-03,2.3407999999999998
2015-06-29,2015-07-06,2.2620999999999993
2015-06-30,2015-07-07,2.3156
2015-07-01,2015-07-08,2.2954
2015-07-02,2015-07-09,2.2245999999999997
2015-07-03,2015-07-10,2.1966
2015-07-06,2015-07-13,2.0786999999999995
2015-07-07,2015-07-14,1.9544999999999995
2015-07-08,2015-07-15,1.9449000000000005
2015-07-09,2015-07-16,2.0138
2015-07-10,2015-07-17,2.2149
2015-07-13,2015-07-20,2.1142000000000003
2015-07-14,2015-07-21,2.0204000000000004
2015-07-15,2015-07-22,2.0512999999999995
2015-07-16,2015-07-23,2.021099999999999
